epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2234.48,2.20232,2.05048,0.89117,0.63597,0.50605,0.49662,0.2,2.31924,1.76733,0.93047,0.00333302,0.00333302,0.00333302
2,4361.46,2.24386,1.4593,0.89412,0.64825,0.57027,0.54742,0.2242,2.31712,1.63463,0.93045,0.00650136,0.00650136,0.00650136
3,6461.06,2.33586,1.58426,0.90557,0.63318,0.56498,0.545,0.22276,2.27152,1.63532,0.929,0.0095047,0.0095047,0.0095047
4,8549.35,2.37409,1.61254,0.91448,0.61532,0.55283,0.53115,0.21873,2.25304,1.6417,0.92331,0.0092575,0.0092575,0.0092575
5,10633.8,2.32606,1.53667,0.90966,0.66655,0.57533,0.56638,0.2354,2.23776,1.57006,0.92261,0.00901,0.00901,0.00901
6,12722.2,2.23819,1.45017,0.89442,0.66667,0.57498,0.56353,0.23425,2.22284,1.57314,0.92072,0.0087625,0.0087625,0.0087625
7,14811.8,2.19928,1.39793,0.89126,0.64604,0.57992,0.56709,0.23348,2.24274,1.60753,0.9202,0.008515,0.008515,0.008515
8,16900.4,2.17281,1.3779,0.88479,0.65614,0.57724,0.56703,0.23509,2.23424,1.57176,0.91741,0.0082675,0.0082675,0.0082675
9,18985.4,2.13757,1.34325,0.88044,0.66275,0.58208,0.56566,0.22892,2.23997,1.57915,0.918,0.00802,0.00802,0.00802
10,21062.6,2.10056,1.31645,0.87608,0.66416,0.58696,0.57509,0.23692,2.22631,1.5682,0.91677,0.0077725,0.0077725,0.0077725
11,23141.8,2.08178,1.29812,0.87812,0.65659,0.59093,0.58084,0.24011,2.23009,1.5697,0.91589,0.007525,0.007525,0.007525
12,25244.2,2.05656,1.27677,0.87072,0.65006,0.59725,0.58129,0.23946,2.23091,1.57576,0.91591,0.0072775,0.0072775,0.0072775
13,27341.8,2.02796,1.25805,0.8712,0.64748,0.59587,0.58005,0.23912,2.22672,1.58159,0.91516,0.00703,0.00703,0.00703
14,29481,2.0125,1.24365,0.8644,0.64889,0.59333,0.57964,0.23872,2.22824,1.58438,0.91537,0.0067825,0.0067825,0.0067825
15,31628,1.99238,1.21673,0.86506,0.64881,0.59479,0.58098,0.23969,2.22603,1.58586,0.91501,0.006535,0.006535,0.006535
16,33790.8,1.9664,1.21063,0.86319,0.65192,0.59352,0.5817,0.23996,2.23132,1.58549,0.91534,0.0062875,0.0062875,0.0062875
17,35959.7,1.96793,1.19988,0.86132,0.65255,0.59461,0.58195,0.23991,2.23056,1.5853,0.91533,0.00604,0.00604,0.00604
18,38136.1,1.93498,1.16917,0.85905,0.65359,0.59506,0.58281,0.2399,2.23061,1.58878,0.91532,0.0057925,0.0057925,0.0057925
19,40315.3,1.92537,1.16269,0.85737,0.65428,0.59406,0.58218,0.23933,2.23195,1.58994,0.91547,0.005545,0.005545,0.005545
20,42478.7,1.89962,1.15063,0.85469,0.65593,0.5934,0.58175,0.23839,2.2347,1.59052,0.91561,0.0052975,0.0052975,0.0052975
21,44644.4,1.8866,1.13412,0.85399,0.65572,0.59328,0.58189,0.23864,2.23242,1.59007,0.91536,0.00505,0.00505,0.00505
22,46820.9,1.86409,1.13198,0.84996,0.65953,0.59081,0.58229,0.2397,2.22793,1.58903,0.91467,0.0048025,0.0048025,0.0048025
23,48983.1,1.8498,1.11279,0.84911,0.66287,0.58958,0.58411,0.24009,2.22335,1.58639,0.91405,0.004555,0.004555,0.004555
24,51141.1,1.83126,1.08734,0.84613,0.66535,0.58786,0.5831,0.24016,2.21825,1.5879,0.91361,0.0043075,0.0043075,0.0043075
25,53299.5,1.81736,1.0845,0.84562,0.66705,0.58774,0.58527,0.24103,2.21348,1.58567,0.91308,0.00406,0.00406,0.00406
26,55462.7,1.80884,1.07334,0.84542,0.6681,0.58711,0.58555,0.24145,2.20953,1.58354,0.91259,0.0038125,0.0038125,0.0038125
27,57627,1.77863,1.0501,0.83973,0.67,0.58696,0.58625,0.24183,2.20684,1.58559,0.91206,0.003565,0.003565,0.003565
28,59792.7,1.75269,1.03129,0.8388,0.67283,0.58548,0.58687,0.2427,2.2039,1.58444,0.91135,0.0033175,0.0033175,0.0033175
29,61955.3,1.74541,1.0202,0.83511,0.67665,0.58303,0.5864,0.2433,2.20261,1.5871,0.91125,0.00307,0.00307,0.00307
30,64083.5,1.72213,1.00861,0.83538,0.67843,0.58178,0.58598,0.24363,2.20165,1.589,0.911,0.0028225,0.0028225,0.0028225
31,66186.3,1.57596,0.95221,0.78252,0.67761,0.57926,0.5847,0.24345,2.20221,1.59631,0.91089,0.002575,0.002575,0.002575
32,68276.2,1.55637,0.93274,0.77806,0.67592,0.57756,0.58307,0.24252,2.20411,1.6046,0.91084,0.0023275,0.0023275,0.0023275
33,70371,1.53843,0.91803,0.7757,0.67521,0.57552,0.57936,0.24092,2.207,1.61572,0.91131,0.00208,0.00208,0.00208
34,72458.7,1.51201,0.89203,0.77722,0.67242,0.57166,0.57641,0.23902,2.20931,1.62804,0.91148,0.0018325,0.0018325,0.0018325
35,74548.4,1.48563,0.87997,0.77501,0.67071,0.56723,0.57297,0.23718,2.21243,1.64313,0.91185,0.001585,0.001585,0.001585
36,76639.5,1.46588,0.8688,0.77396,0.67288,0.56107,0.57063,0.23617,2.21517,1.65494,0.91189,0.0013375,0.0013375,0.0013375
37,78731.8,1.43145,0.8428,0.76843,0.67099,0.55626,0.56647,0.23428,2.21841,1.67224,0.91209,0.00109,0.00109,0.00109
38,80822.6,1.39958,0.82109,0.76673,0.66944,0.55252,0.5622,0.23261,2.22155,1.69358,0.91242,0.0008425,0.0008425,0.0008425
39,82916.6,1.38854,0.81072,0.76295,0.67182,0.54608,0.55825,0.23094,2.22397,1.71377,0.91276,0.000595,0.000595,0.000595
40,85004.7,1.37264,0.79081,0.7615,0.67612,0.54139,0.5549,0.22889,2.22751,1.73534,0.91319,0.0003475,0.0003475,0.0003475
