epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.495,inf,4.62099,0.32779,0.17956,0.91415,0.98635,0.98391,0.98984,0.97122,0.69591,0.63412,0.59877,0.40773,0.2474,4.47924,0.36809,0.34945,0.57624,0.00332966,0.00332966,0.00332966
2,271.404,0.1959,4.98819,0.32575,0.18933,0.91616,0.98138,0.97532,0.98998,0.96065,0.68751,0.61373,0.54945,0.35408,0.29686,4.77083,0.37326,0.35292,0.6144,0.00653107,0.00653107,0.00653107
3,401.355,0.22367,5.50215,0.33298,0.21141,0.92765,0.9804,0.98416,0.98901,0.96092,0.68997,0.59835,0.51808,0.27908,0.29675,5.1057,0.38096,0.4112,0.61826,0.00960047,0.00960047,0.00960047
4,531.007,0.24642,5.7522,0.33594,0.23286,0.94022,0.98178,0.98274,0.9896,0.95801,0.6804,0.60587,0.51123,0.28333,0.3117,5.15007,0.38526,0.36607,0.63464,0.009406,0.009406,0.009406
5,660.632,0.25163,5.79944,0.33749,0.23884,0.94325,0.98,0.98212,0.98859,0.95575,0.64903,0.58011,0.48396,0.26168,0.31933,5.20326,0.38657,0.37747,0.63953,0.009208,0.009208,0.009208
6,789.978,0.25058,5.74354,0.33785,0.23909,0.94266,0.98192,0.98247,0.98894,0.96037,0.68667,0.60665,0.53323,0.31102,0.29299,5.06681,0.37828,0.37298,0.60916,0.00901,0.00901,0.00901
7,918.774,0.24642,5.65384,0.33811,0.23303,0.9391,0.98028,0.98355,0.98773,0.95476,0.66141,0.59227,0.48471,0.24415,0.3077,5.15078,0.3782,0.32721,0.63063,0.008812,0.008812,0.008812
8,1047.74,0.24143,5.62053,0.33853,0.23055,0.94002,0.98603,0.97818,0.98782,0.95576,0.67896,0.60662,0.49136,0.2888,0.29649,4.97702,0.37923,0.3572,0.62691,0.008614,0.008614,0.008614
9,1176.23,0.24315,5.59759,0.33463,0.22866,0.93868,0.98186,0.98212,0.98762,0.95502,0.66174,0.59614,0.49361,0.28597,0.311,5.07164,0.37657,0.4131,0.62972,0.008416,0.008416,0.008416
10,1304.86,0.23769,5.56084,0.3322,0.22467,0.9331,0.98254,0.98104,0.98858,0.95861,0.6967,0.62053,0.53879,0.32976,0.29964,4.83176,0.37476,0.38264,0.62184,0.008218,0.008218,0.008218
