epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.2532,0.63843,9.72629,0.57215,0.79112,1.24657,0.96327,0.95663,0.98239,0.87859,0.01193,0.0118,0.00246,0.00059,0.57236,9.75283,0.40748,0.51679,0.86416,0.00332599,0.00332599,0.00332599
2,197.289,0.35388,7.63934,0.39991,0.32639,1.01196,0.97516,0.96892,0.98509,0.92534,0.31329,0.28863,0.14187,0.0323,0.45789,6.91071,0.38998,0.46763,0.78265,0.00652747,0.00652747,0.00652747
3,295.835,0.39934,6.77862,0.36393,0.36232,1.03273,0.91771,0.95326,0.97408,0.83496,0.26649,0.27118,0.12472,0.02944,0.60149,7.06575,0.37427,0.60928,0.87616,0.00959695,0.00959695,0.00959695
4,394.612,0.4269,6.3479,0.33455,0.3907,1.04261,0.95447,0.95224,0.9769,0.87782,0.57667,0.46209,0.34847,0.11384,0.53166,6.25665,0.35467,0.47928,0.83347,0.009406,0.009406,0.009406
5,496.117,0.39488,5.64383,0.31405,0.3566,1.02261,0.9802,0.97378,0.98225,0.90707,0.66429,0.58262,0.45516,0.2042,0.48575,5.39627,0.33326,0.48428,0.79868,0.009208,0.009208,0.009208
6,599.947,0.37197,5.2925,0.29698,0.33443,1.01024,0.97841,0.97461,0.98588,0.93032,0.70553,0.62411,0.55273,0.28399,0.39766,4.87557,0.30969,0.42873,0.71303,0.00901,0.00901,0.00901
7,702.994,0.35139,5.07135,0.28436,0.31632,0.99665,0.97791,0.97961,0.98645,0.9291,0.70962,0.62732,0.52144,0.27,0.39796,4.86978,0.30294,0.38439,0.72399,0.008812,0.008812,0.008812
8,807.053,0.3388,4.81672,0.27551,0.30785,0.99158,0.98065,0.97854,0.98706,0.92912,0.73319,0.64081,0.58785,0.34553,0.40971,4.50718,0.29274,0.4382,0.73201,0.008614,0.008614,0.008614
9,912.12,0.32594,4.67513,0.2653,0.29513,0.98519,0.98324,0.97604,0.98593,0.9424,0.76206,0.64914,0.60056,0.3695,0.36152,4.36306,0.28545,0.37995,0.687,0.008416,0.008416,0.008416
10,1017.38,0.31449,4.53766,0.26019,0.28805,0.97567,0.98022,0.97479,0.98617,0.9333,0.72089,0.64807,0.56576,0.34622,0.38828,4.28429,0.28247,0.41153,0.69692,0.008218,0.008218,0.008218
11,1124.68,0.31309,4.41936,0.25492,0.2825,0.98105,0.97961,0.97747,0.98435,0.93873,0.7278,0.66237,0.60133,0.39655,0.37862,4.07466,0.27293,0.39844,0.69485,0.00802,0.00802,0.00802
12,1234.54,0.29998,4.29614,0.24706,0.27459,0.97109,0.97409,0.97926,0.98818,0.94657,0.73725,0.66881,0.59217,0.40277,0.34077,4.01623,0.26304,0.38434,0.66612,0.007822,0.007822,0.007822
13,1342.97,0.29462,4.21274,0.24202,0.26668,0.96827,0.97222,0.97818,0.9874,0.94652,0.7611,0.67525,0.6294,0.4398,0.34649,3.98248,0.26287,0.42539,0.674,0.007624,0.007624,0.007624
14,1451.36,0.2882,4.14718,0.24034,0.26358,0.96934,0.97995,0.97903,0.98778,0.94604,0.79404,0.67563,0.63549,0.44703,0.34463,3.89427,0.26214,0.41869,0.67389,0.007426,0.007426,0.007426
15,1559.99,0.28272,4.041,0.23623,0.25923,0.96389,0.98203,0.98283,0.98829,0.95217,0.75629,0.68598,0.61948,0.39833,0.32985,3.90576,0.26239,0.3806,0.657,0.007228,0.007228,0.007228
16,1669.69,0.27877,3.96431,0.23433,0.25372,0.96056,0.97663,0.98355,0.98842,0.94926,0.7804,0.67382,0.63372,0.45431,0.32546,3.79246,0.2489,0.39188,0.64929,0.00703,0.00703,0.00703
17,1778.6,0.27391,3.89057,0.22983,0.25276,0.96045,0.97852,0.97734,0.98643,0.9479,0.77823,0.69099,0.62848,0.46361,0.34534,3.64288,0.24356,0.40569,0.67557,0.006832,0.006832,0.006832
