epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,515.94,1.42947,0.73756,1.06422,0.51807,0.37058,0.39488,0.2041,1.48561,1.69276,1.10516,0.0700178,0.00333136,0.00333136
2,900.015,1.34852,0.66772,1.02457,0.54971,0.48639,0.41006,0.21594,1.47,2.2084,1.08464,0.0395779,0.00622482,0.00622482
3,1287.23,1.29213,0.63768,1.006,0.50605,0.47725,0.41797,0.22257,1.45515,1.92087,1.08956,0.00869803,0.00867829,0.00867829
4,1672.81,1.26729,0.61274,0.99375,0.6802,0.39283,0.4198,0.22713,1.43894,1.94969,1.07169,0.00802,0.00802,0.00802
5,2059.53,1.23886,0.60516,0.98348,0.43629,0.49001,0.37497,0.20627,1.41318,1.97024,1.06828,0.00736,0.00736,0.00736
6,2443.69,1.22035,0.58922,0.98882,0.47272,0.42803,0.36057,0.19824,1.45342,2.28276,1.08342,0.0067,0.0067,0.0067
7,2827.5,1.22063,0.58754,0.98882,0.4816,0.45835,0.40671,0.22461,1.45966,1.94828,1.07858,0.00604,0.00604,0.00604
8,3211.41,1.20588,0.57441,0.98336,0.47839,0.41274,0.4006,0.22614,1.42809,2.12158,1.0738,0.00538,0.00538,0.00538
9,3594.16,1.17726,0.55572,0.97554,0.45656,0.4498,0.41669,0.22956,1.4412,1.9238,1.07919,0.00472,0.00472,0.00472
10,3980.41,1.16095,0.54616,0.96819,0.48083,0.50994,0.42039,0.22889,1.45742,1.96691,1.07385,0.00406,0.00406,0.00406
11,4363.71,1.13681,0.52841,0.96009,0.42881,0.48257,0.3893,0.2167,1.43897,2.04861,1.08623,0.0034,0.0034,0.0034
12,4745.83,1.13052,0.51792,0.95955,0.53717,0.5041,0.42655,0.24491,1.39299,2.20451,1.06133,0.00274,0.00274,0.00274
13,5130.3,1.10522,0.5092,0.95107,0.46386,0.48685,0.412,0.23604,1.38071,1.92986,1.0547,0.00208,0.00208,0.00208
14,5512.67,1.08307,0.49338,0.94378,0.4984,0.50439,0.43073,0.24534,1.38868,1.91894,1.05881,0.00142,0.00142,0.00142
15,5898.35,1.06438,0.47704,0.93811,0.4993,0.50617,0.42579,0.24169,1.41621,2.10402,1.07391,0.00076,0.00076,0.00076
