epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,627.762,1.2726,0.68799,0.94463,0.84481,0.54512,0.55571,0.31983,1.25513,0.75634,0.9597,0.00333215,0.00333215,0.00333215
2,1215.2,1.23332,0.59334,0.94242,0.60617,0.55861,0.5607,0.31921,1.29873,0.73379,0.97903,0.00650051,0.00650051,0.00650051
3,1795.98,1.23944,0.58861,0.94838,0.57123,0.54173,0.5412,0.30339,1.30265,0.76352,0.98866,0.00950387,0.00950387,0.00950387
4,2372.77,1.22585,0.57614,0.94872,0.56959,0.54228,0.55042,0.31893,1.27052,0.74334,0.98077,0.0092575,0.0092575,0.0092575
5,2948.79,1.18345,0.54443,0.93912,0.54737,0.54202,0.53928,0.31449,1.23527,0.74417,0.96958,0.00901,0.00901,0.00901
6,3525.13,1.15727,0.52783,0.93301,0.59756,0.55048,0.55782,0.32881,1.24489,0.71536,0.97445,0.0087625,0.0087625,0.0087625
7,4100.89,1.13398,0.51515,0.92623,0.57526,0.55609,0.55571,0.32844,1.2179,0.71381,0.96318,0.008515,0.008515,0.008515
8,4676.23,1.11253,0.50262,0.92244,0.58066,0.56319,0.5597,0.33289,1.22502,0.70548,0.96861,0.0082675,0.0082675,0.0082675
9,5252.57,1.09519,0.49412,0.91904,0.58421,0.56247,0.55829,0.33222,1.23069,0.70186,0.97149,0.00802,0.00802,0.00802
10,5831.07,1.08026,0.48339,0.91518,0.5662,0.55721,0.55514,0.33288,1.22567,0.7055,0.96538,0.0077725,0.0077725,0.0077725
11,6408.01,1.06535,0.47626,0.9114,0.58638,0.56407,0.56091,0.33614,1.2357,0.69995,0.96943,0.007525,0.007525,0.007525
12,6985.45,1.05007,0.46866,0.90727,0.58328,0.56594,0.55495,0.33572,1.2214,0.69747,0.96453,0.0072775,0.0072775,0.0072775
13,7561.65,1.03684,0.46034,0.9031,0.58967,0.56488,0.564,0.33682,1.23384,0.68678,0.96764,0.00703,0.00703,0.00703
14,8137.76,1.02513,0.45535,0.90173,0.59037,0.57327,0.5716,0.34138,1.22922,0.6894,0.96978,0.0067825,0.0067825,0.0067825
15,8714.13,1.0101,0.44947,0.89686,0.57585,0.57909,0.55859,0.33894,1.21516,0.69133,0.96327,0.006535,0.006535,0.006535
16,9289.09,0.99689,0.44157,0.89501,0.58152,0.57163,0.56173,0.33948,1.23166,0.69037,0.9681,0.0062875,0.0062875,0.0062875
